ID,rodada,data,hora,mandante,visitante,formacao_mandante,formacao_visitante,tecnico_mandante,tecnico_visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,publico_jogo,juiz_partida,expulsao_mandate,expulsao_visitante,dia_semana_jogo
2810,11,2009-07-15,21:00,Santo Andre,Athletico-PR,,,,,Santo Andre,Bruno José Daniel,1,0,SP,PR,1.294,Célio Amorim,0,0,Quarta-feira
2811,11,2009-07-15,21:50,Flamengo,Palmeiras,,,,,Palmeiras, Maracanã,1,2,RJ,SP,22.861,Leandro Vuaden,0,0,Quarta-feira
2812,11,2009-07-15,21:50,Internacional,Fluminense,,,,,Internacional, Beira Rio,4,2,RS,RJ,6.346,Evandro Roman,2,2,Quarta-feira
2813,11,2009-07-16,21:00,Atletico-MG,Sao Paulo,,,,,Atletico-MG, Mineirão,2,0,MG,SP,54.184,Leonardo Gaciba,0,0,Quinta-feira
2814,11,2009-07-16,21:00,Corinthians,Sport,,,,,Corinthians, Pacaembu,4,3,SP,PE,22.756,Carlos Eugenio Simon,0,1,Quinta-feira
2815,11,2009-07-16,21:00,Nautico,Vitoria,,,,,-,Aflitos,1,1,PE,BA,13.178,Paulo César Olivera,0,1,Quinta-feira
2817,12,2009-07-18,18:30,Fluminense,Goias,,,,,Goias, Maracanã,1,4,RJ,GO,8.327,Rodrigo Martins Cintra,0,0,Sábado
2818,12,2009-07-18,18:30,Palmeiras,Santo Andre,,,,,Palmeiras,Palestra Itália,1,0,SP,SP,19.041,Marcelo de Lima Henrique,0,0,Sábado
2819,12,2009-07-19,16:00,Gremio,Internacional,,,,,Gremio, Olímpico,2,1,RS,RS,36.046,Leonardo Gaciba,0,0,Domingo
2820,12,2009-07-19,16:00,Sao Paulo,Santos,,,,,Sao Paulo, Morumbi,2,1,SP,SP,10.913,José Henrique de Carvalho,0,0,Domingo
2821,12,2009-07-19,16:00,Athletico-PR,Coritiba,,,,,-, Arena da Baixada,0,0,PR,PR,19.266,Wilson Luiz Seneme,0,0,Domingo
2823,12,2009-07-19,16:00,Cruzeiro,Corinthians,,,,,Corinthians, Mineirão,1,2,MG,SP,32.820,Elmo Alves Resende,1,0,Domingo
2822,12,2009-07-19,18:30,Vitoria,Atletico-MG,,,,,-, Barradão,0,0,BA,MG,16.101,Leandro Vuaden,0,0,Domingo
2824,12,2009-07-19,18:30,Barueri,Nautico,,,,,Barueri,Arena Barueri,4,0,SP,PE,1.866,Heber Roberto Lopes,0,1,Domingo
2825,12,2009-07-19,18:30,Sport,Avai,,,,,Avai,Ilha do Retiro,1,3,PE,SC,11.076,Arilson Bispo da Anunciação,1,0,Domingo
2826,12,2009-07-19,18:30,Botafogo-RJ,Flamengo,,,,,-, Maracanã,2,2,RJ,RJ,32.159,Péricles Pegado Cortez,1,0,Domingo
2827,13,2009-07-22,19:30,Flamengo,Barueri,,,,,-, Maracanã,1,1,RJ,SP,27.952,Cláudio Mercante,0,0,Quarta-feira
2828,13,2009-07-22,19:30,Santo Andre,Cruzeiro,,,,,Cruzeiro,Bruno José Daniel,0,2,SP,MG,1.709,Carlos Eugenio Simon,0,0,Quarta-feira
2829,13,2009-07-22,19:30,Avai,Gremio,,,,,Avai,  Ressacada,1,0,SC,RS,12.204,Felipe Gomes da Silva,1,0,Quarta-feira
2830,13,2009-07-22,21:00,Santos,Athletico-PR,,,,,Santos, Vila Belmiro,1,0,SP,PR,7.375,Wagner Tardelli,0,0,Quarta-feira
2831,13,2009-07-22,21:50,Goias,Palmeiras,,,,,Goias, Serra Dourada,2,1,GO,SP,19.707,Evandro Roman,0,0,Quarta-feira
2832,13,2009-07-22,21:50,Internacional,Sao Paulo,,,,,-, Beira Rio,2,2,RS,SP,17.759,Rodrigo Nunes de Sá,0,0,Quarta-feira
2833,13,2009-07-22,21:50,Nautico,Botafogo-RJ,,,,,-,Aflitos,2,2,PE,RJ,12.721,José Henrique de Carvalho,0,1,Quarta-feira
2834,13,2009-07-23,21:00,Atletico-MG,Fluminense,,,,,Atletico-MG, Mineirão,2,1,MG,RJ,55.769,Wilson Luiz Seneme,0,0,Quinta-feira
2835,13,2009-07-23,21:00,Coritiba,Sport,,,,,-, Couto Pereira,1,1,PR,PE,6.781,Cléber Wellington Abade,0,0,Quinta-feira
2836,13,2009-07-23,21:00,Corinthians,Vitoria,,,,,Corinthians, Pacaembu,2,1,SP,BA,23.600,Nielson Nogueira Dias,0,0,Quinta-feira
2837,14,2009-07-25,18:30,Gremio,Santo Andre,,,,,Gremio, Olímpico,3,2,RS,SP,11.180,Alicio Pena Júnior,0,1,Sábado
2838,14,2009-07-25,18:30,Athletico-PR,Avai,,,,,Avai, Arena da Baixada,1,3,PR,SC,13.485,Péricles Pegado Cortez,0,0,Sábado
2839,14,2009-07-25,18:30,Botafogo-RJ,Internacional,,,,,Botafogo-RJ,Engenhão,3,2,RJ,RS,8.523,Evandro Roman,0,0,Sábado
2840,14,2009-07-26,16:00,Santos,Flamengo,,,,,Flamengo, Vila Belmiro,1,2,SP,RJ,10.633,Heber Roberto Lopes,0,0,Domingo
2841,14,2009-07-26,16:00,Corinthians,Palmeiras,,,,,Palmeiras,Eduardo José Farah,0,3,SP,SP,29.777,Leonardo Gaciba,1,0,Domingo
2842,14,2009-07-26,16:00,Atletico-MG,Goias,,,,,Goias, Mineirão,0,1,MG,GO,59.991,Marcelo de Lima Henrique,0,0,Domingo
2843,14,2009-07-26,16:00,Sport,Nautico,,,,,-,Ilha do Retiro,3,3,PE,PE,7.285,Wagner Tardelli,0,0,Domingo
2844,14,2009-07-26,18:30,Fluminense,Cruzeiro,,,,,-, Maracanã,1,1,RJ,MG,13.560,Arilson Bispo da Anunciação,0,1,Domingo
2845,14,2009-07-26,18:30,Vitoria,Coritiba,,,,,Vitoria, Barradão,1,0,BA,PR,12.105,Francisco de Almeida Filho,0,0,Domingo
2846,14,2009-07-26,18:30,Barueri,Sao Paulo,,,,,Sao Paulo,Arena Barueri,1,2,SP,SP,6.754,Rodrigo Martins Cintra,0,1,Domingo
2847,15,2009-07-29,19:30,Nautico,Santos,,,,,Santos,Aflitos,1,2,PE,SP,13.511,Jailson Macedo Freitas,1,0,Quarta-feira
2848,15,2009-07-29,19:30,Coritiba,Botafogo-RJ,,,,,-, Couto Pereira,2,2,PR,RJ,9.689,Leandro Vuaden,0,0,Quarta-feira
2849,15,2009-07-29,21:00,Goias,Athletico-PR,,,,,Goias, Serra Dourada,3,0,GO,PR,11.257,Devarly Lira do Rosário ,0,1,Quarta-feira
2850,15,2009-07-29,21:00,Internacional,Barueri,,,,,Internacional, Beira Rio,3,2,RS,SP,12.495,Francisco Carlos Nascimento,0,0,Quarta-feira
2851,15,2009-07-29,21:50,Cruzeiro,Sport,,,,,Cruzeiro, Mineirão,1,0,MG,PE,17.954,Marcelo de Lima Henrique,1,1,Quarta-feira
