ID,rodada,data,hora,mandante,visitante,vencedor,arena,mandante_Placar,visitante_Placar,mandante_Estado,visitante_Estado,publico_jogo,juiz_partida,expulsao_mandate,expulsao_visitante,dia_semana_jogo
3071,37,2009-11-29,17:00,Gremio,Barueri,Gremio, Olímpico,4,2,RS,SP,12896,Péricles Bassols Cortez,0,0,Domingo
3072,37,2009-11-29,17:00,Avai,Santos,Empate,  Ressacada,2,2,SC,SP,8761,Leonardo Gaciba,0,1,Domingo
3073,37,2009-11-29,17:00,Cruzeiro,Coritiba,Cruzeiro, Mineirão,4,1,MG,PR,27291,Sálvio Spínola Fagundes Filho,0,0,Domingo
3074,37,2009-11-29,17:00,Santo Andre,Nautico,Santo Andre,Bruno José Daniel,5,3,SP,PE,1178,Leandro Vuaden,0,0,Domingo
3075,37,2009-11-29,17:00,Athletico-PR,Botafogo-RJ,Athletico-PR, Arena da Baixada,2,0,PR,RJ,21592,Wilson Luiz Seneme,0,0,Domingo
3076,37,2009-11-29,17:00,Fluminense,Vitoria,Fluminense, Maracanã,4,0,RJ,BA,52408,Ricardo Marques Ribeiro,1,2,Domingo
3077,38,2009-12-05,19:30,Atletico-MG,Corinthians,Corinthians, Mineirão,0,3,MG,SP,5769,Wagner Tardelli,0,0,Sábado
3078,38,2009-12-05,19:30,Nautico,Avai,Avai,Aflitos,0,1,PE,SC,2830,João Alberto Gomes Duarte,0,0,Sábado
3079,38,2009-12-06,17:00,Flamengo,Gremio,Flamengo, Maracanã,2,1,RJ,RS,78639,Heber Roberto Lopes,0,0,Domingo
3080,38,2009-12-06,17:00,Botafogo-RJ,Palmeiras,Botafogo-RJ,Engenhão,2,1,RJ,SP,38717,Leonardo Gaciba,0,0,Domingo
3081,38,2009-12-06,17:00,Sao Paulo,Sport,Sao Paulo, Morumbi,4,0,SP,PE,30397,Sandro Meira Ricci,1,2,Domingo
3082,38,2009-12-06,17:00,Internacional,Santo Andre,Internacional, Beira Rio,4,1,RS,SP,0,Jailson Macedo Freitas,0,0,Domingo
3083,38,2009-12-06,17:00,Santos,Cruzeiro,Cruzeiro, Vila Belmiro,1,2,SP,MG,6942,Marcelo de Lima Henrique,0,1,Domingo
3084,38,2009-12-06,17:00,Barueri,Athletico-PR,Empate,  Prudentão,0,0,SP,PR,1741,Ricardo Marques Ribeiro,0,0,Domingo
3085,38,2009-12-06,17:00,Vitoria,Goias,Empate, Barradão,2,2,BA,GO,7974,Sálvio Spínola Fagundes Filho,0,0,Domingo
3086,38,2009-12-06,17:00,Coritiba,Fluminense,Empate, Couto Pereira,1,1,PR,RJ,0,Leandro Vuaden,0,0,Domingo
